auc_value,bin,ks_value,"p0=0.5,accuracy"
0.761189163,3,0.408841689,0.8053
0.764195506,4,0.411234901,0.807233333
0.744908813,5,0.377420263,0.819766667
0.746276274,6,0.378831608,0.819733333
0.746574036,7,0.384039076,0.819733333
0.718506597,8,0.372191898,0.819633333
0.719720747,9,0.371935092,0.819633333
0.719259318,10,0.371935092,0.8197
0.718461478,11,0.372020694,0.8196
0.719567342,12,0.372084006,0.819666667
0.714929608,13,0.372000184,0.819633333
0.74751989,14,0.381403841,0.819666667
0.719289116,15,0.372126806,0.819633333
0.746576816,16,0.380847894,0.819733333
0.7463691,17,0.381782935,0.819633333
0.719561679,18,0.372085786,0.819666667
0.746738686,19,0.381346954,0.8197
0.71903116,20,0.372106296,0.819666667
0.747479146,21,0.381778446,0.819866667
0.747640491,22,0.381941677,0.819466667
0.719307437,23,0.371935092,0.819666667
0.719667462,24,0.371935092,0.819633333
0.719821132,25,0.372104516,0.8197
0.719278652,26,0.372085786,0.819633333
0.71422209,27,0.372150877,0.8197
0.714437594,28,0.371780839,0.819666667
0.713967678,29,0.37180669,0.8197
0.748098701,30,0.382179985,0.8197
0.719113163,31,0.371998404,0.819633333
0.718645858,32,0.372018914,0.819666667
0.719392404,33,0.372085786,0.819666667
0.719527195,34,0.371935092,0.819666667
0.713706674,35,0.371780839,0.819666667
0.748333635,36,0.381699036,0.819566667
0.748115123,37,0.3821159,0.819633333
0.713841768,38,0.371780839,0.819666667
0.714692481,39,0.371936873,0.8197
0.714535828,40,0.372366662,0.819666667
0.74694933,41,0.382506371,0.819733333
0.74853307,42,0.383865318,0.819533333
0.719656823,43,0.372085786,0.819633333
0.714087128,44,0.372068836,0.8196
0.747277274,45,0.382273636,0.819733333
0.755442305,46,0.389230445,0.820266667
0.71454559,47,0.371919923,0.819633333
0.747146656,48,0.382179985,0.819633333
0.74905214,49,0.38341231,0.8199
0.713447601,50,0.372087566,0.819666667
0.747794948,51,0.383062705,0.819833333
0.714237192,52,0.371780839,0.8197
0.714465954,53,0.371780839,0.819666667
0.713473587,54,0.371849491,0.8197
0.714215495,55,0.371780839,0.8197
0.724872078,56,0.372653807,0.819633333
0.713899578,57,0.371940433,0.819633333
0.747772677,58,0.38281124,0.819866667
0.714356801,59,0.371780839,0.819666667
0.714245106,60,0.371918142,0.8197
0.714048204,61,0.371914582,0.8197
0.714052006,62,0.372132147,0.8197
0.713726642,63,0.371780839,0.8197
0.713774416,64,0.372042985,0.8197
0.714155635,65,0.372132147,0.819666667
0.715278442,66,0.371782619,0.8197
0.713595618,67,0.371780839,0.819666667
0.714205288,68,0.371957383,0.8197
0.714258657,69,0.371977893,0.8197
0.71333888,70,0.371780839,0.819633333
0.714753473,71,0.371849491,0.8197
0.714681097,72,0.371780839,0.8197
0.714010356,73,0.372240039,0.819666667
0.714040857,74,0.371868221,0.819666667
0.713577442,75,0.371780839,0.8197
0.714268619,76,0.371780839,0.8197
0.713434134,77,0.371780839,0.8197
0.714359278,78,0.37180491,0.819666667
0.713575594,79,0.371955603,0.8197
0.713810631,80,0.372042985,0.8197
0.713712598,81,0.371916362,0.819666667
0.714443647,82,0.37181381,0.819666667
0.714270041,83,0.371938653,0.8197
0.714696473,84,0.37181381,0.8197
0.714579393,85,0.371780839,0.8197
0.714001178,86,0.371780839,0.819666667
0.716701307,87,0.37226055,0.8197
0.714451274,88,0.372000184,0.8197
0.714512941,89,0.371780839,0.8197
0.715140748,90,0.372171387,0.8197
0.713801686,91,0.371870001,0.8197
0.714022211,92,0.372195458,0.8197
0.714079898,93,0.372411243,0.8197
0.713293122,94,0.371780839,0.8197
0.714181092,95,0.371780839,0.819633333
0.714813353,96,0.371890511,0.8197
0.713918101,97,0.372174948,0.8197
0.714299288,98,0.371780839,0.819666667
0.714159992,99,0.372106296,0.819666667
0.725559476,100,0.372272082,0.8197
